,1.5,2,3,4,1.5,2,3,4,1.5,2,3,4
,rcp26,rcp26,rcp26,rcp26,rcp45,rcp45,rcp45,rcp45,rcp85,rcp85,rcp85,rcp85
MIROC_MIROC5_r1i1p1_GERICS_REMO2015_v1,2037-2056,,,,2030-2049,2062-2081,,,2024-2043,2039-2058,2063-2082,
MOHC_HadGEM2-ES_r1i1p1_CLMcom_CCLM4-8-17_v1,2015-2034,,,,2020-2039,2036-2055,,,9999,9999,9999,9999
MOHC_HadGEM2-ES_r1i1p1_CNRM_ALADIN63_v1,2015-2034,,,,2020-2039,2036-2055,,,9999,9999,9999,9999
MOHC_HadGEM2-ES_r1i1p1_DMI_HIRHAM5_v2,2015-2034,,,,2020-2039,2036-2055,,,9999,9999,9999,9999
MOHC_HadGEM2-ES_r1i1p1_GERICS_REMO2015_v1,2015-2034,,,,2020-2039,2036-2055,,,9999,9999,9999,9999
MOHC_HadGEM2-ES_r1i1p1_ICTP_RegCM4-6_v1,2015-2034,,,,2020-2039,2036-2055,,,9999,9999,9999,9999
MOHC_HadGEM2-ES_r1i1p1_IPSL_WRF381P_v1,2015-2034,,,,2020-2039,2036-2055,,,9999,9999,9999,9999
MOHC_HadGEM2-ES_r1i1p1_KNMI_RACMO22E_v2,2015-2034,,,,2020-2039,2036-2055,,,9999,9999,9999,9999
MOHC_HadGEM2-ES_r1i1p1_MOHC_HadREM3-GA7-05_v1,2015-2034,,,,2020-2039,2036-2055,,,9999,9999,9999,9999
MOHC_HadGEM2-ES_r1i1p1_SMHI_RCA4_v1,2015-2034,,,,2020-2039,2036-2055,,,9999,9999,9999,9999
MOHC_HadGEM2-ES_r1i1p1_UHOH_WRF361H_v1,2015-2034,,,,2020-2039,2036-2055,,,9999,9999,9999,9999
MPI-M_MPI-ESM-LR_r1i1p1_CLMcom-ETH_COSMO-crCLIM-v1-1_v1,2013-2032,,,,2013-2032,2035-2054,,,2008-2027,2028-2047,2052-2071,2072-2091
MPI-M_MPI-ESM-LR_r1i1p1_CLMcom_CCLM4-8-17_v1,2013-2032,,,,2013-2032,2035-2054,,,2008-2027,2028-2047,2052-2071,2072-2091
MPI-M_MPI-ESM-LR_r1i1p1_CNRM_ALADIN63_v1,2013-2032,,,,2013-2032,2035-2054,,,2008-2027,2028-2047,2052-2071,2072-2091
MPI-M_MPI-ESM-LR_r1i1p1_DMI_HIRHAM5_v1,2013-2032,,,,2013-2032,2035-2054,,,2008-2027,2028-2047,2052-2071,2072-2091
MPI-M_MPI-ESM-LR_r1i1p1_ICTP_RegCM4-6_v1,2013-2032,,,,2013-2032,2035-2054,,,2008-2027,2028-2047,2052-2071,2072-2091
MPI-M_MPI-ESM-LR_r1i1p1_IPSL_WRF381P_v1,2013-2032,,,,2013-2032,2035-2054,,,2008-2027,2028-2047,2052-2071,2072-2091
MPI-M_MPI-ESM-LR_r1i1p1_KNMI_RACMO22E_v1,2013-2032,,,,2013-2032,2035-2054,,,2008-2027,2028-2047,2052-2071,2072-2091
MPI-M_MPI-ESM-LR_r1i1p1_MOHC_HadREM3-GA7-05_v1,2013-2032,,,,2013-2032,2035-2054,,,2008-2027,2028-2047,2052-2071,2072-2091
MPI-M_MPI-ESM-LR_r1i1p1_MPI-CSC_REMO2009_v1,2013-2032,,,,2013-2032,2035-2054,,,2008-2027,2028-2047,2052-2071,2072-2091
MPI-M_MPI-ESM-LR_r1i1p1_SMHI_RCA4_v1a,2013-2032,,,,2013-2032,2035-2054,,,2008-2027,2028-2047,2052-2071,2072-2091
MPI-M_MPI-ESM-LR_r1i1p1_UHOH_WRF361H_v1,2013-2032,,,,2013-2032,2035-2054,,,2008-2027,2028-2047,2052-2071,2072-2091
MPI-M_MPI-ESM-LR_r2i1p1_CLMcom-ETH_COSMO-crCLIM-v1-1_v1,2007-2026,,,,2010-2029,2032-2051,,,2007-2026,2023-2042,2050-2069,2071-2090
MPI-M_MPI-ESM-LR_r2i1p1_MPI-CSC_REMO2009_v1,2007-2026,,,,2010-2029,2032-2051,,,2007-2026,2023-2042,2050-2069,2071-2090
MPI-M_MPI-ESM-LR_r2i1p1_SMHI_RCA4_v1,2007-2026,,,,2010-2029,2032-2051,,,2007-2026,2023-2042,2050-2069,2071-2090
